Nom_du_POI,Categories_de_POI,Latitude,Longitude,Adresse_postale,Code_postal_et_commune,Periodes_regroupees,Covid19_mesures_specifiques,Covid19_est_en_activite,Covid19_periodes_d_ouvertures_confirmees,Createur_de_la_donnee,SIT_diffuseur,Date_de_mise_a_jour,Contacts_du_POI,Classements_du_POI,Description,URI_ID_du_POI
Mausoleo,https://www.datatourisme.fr/ontology/core#CityHeritage|https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest,42.52064,9.007927,,20259#Mausoléo,,,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-01-06,#+33 4 95 47 34 42##,,"ntrez sur le territoire du Parc Naturel Régional de Corse. La Balagne vous offre quelques uns de ses trésors…Un petit village vous fait découvrir ses curiosités. Entre nature, histoire et mythe, Mausoleo vous livre ses secrets.",https://data.datatourisme.fr/13/488b5cd4-9a05-3f50-89df-0e68921b8a9f
Feliceto,https://www.datatourisme.fr/ontology/core#CityHeritage|https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest,42.544049,8.934371,,20225#Feliceto,,,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-01-06,#+33 4 95 61 71 20#mairie.feliceto@orange.fr#,,"Perché sur les contreforts du massif du Montegrosso, Feliceto, bercé par les hauts sommets, clame fièrement son esprit montagnard dans un coin de la vallée du Reginu.",https://data.datatourisme.fr/13/4b07de87-7314-31cd-a968-0cf454cd6a2d
International de pétanque - Le Paoli,https://www.datatourisme.fr/ontology/core#EntertainmentAndEvent|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsCompetition|https://www.datatourisme.fr/ontology/core#SportsEvent|http://schema.org/Event|http://schema.org/SportsEvent,42.634253,8.937518,,20220#L'Île-Rousse,2023-09-22<->2023-09-24,,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-11-28,###https://www.spirb.fr/,,"Cette année, venez assister et participer au 10e International de pétanque Le Paoli à L'Île-Rousse. Un rendez-vous à ne pas rater pour tous les amoureux de la pétanque.",https://data.datatourisme.fr/13/03029151-dc30-3bd5-bcb5-f9d11cd3a8b8
L'Ile-Rousse,https://www.datatourisme.fr/ontology/core#CityHeritage|https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest,42.635,8.9382,,20220#L'Île-Rousse,,,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-01-06,,,"C’est au coeur de la Balagne, dans un des plus beaux golfes de Corse, que L’Ile-Rousse vous attend pour des instants de détente et de découverte inoubliables.",https://data.datatourisme.fr/13/cebb8d00-d825-374f-8a07-8ba6dd071881
Plage de L'Ile-Rousse,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#Beach|https://www.datatourisme.fr/ontology/core#NaturalHeritage|http://schema.org/Landform,42.634,8.9418,,20220#L'Île-Rousse,,,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-09-28,,,Vous venez d’arriver à L’Ile-Rousse en Balagne ? La mer borde notre belle cité paoline depuis les îles de la Pietra jusqu’à la plage de Caruchettu. Ce n’est pas une plage qui vous attend à L’Ile-Rousse mais bien trois plages.,https://data.datatourisme.fr/13/ed78264d-a88a-32d1-821e-72175a80a486
Ecole de plongée de L'Ile-Rousse,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,42.64095,8.936204,,20220#L'Île-Rousse,,,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-04-22,#+33 6 81 97 86 82#welcome@epirplongee.com#http://www.epirplongee.com/,,"L'Ecole de plongée de L'Ile-Rousse vous propose tout au long de l'année des formations, des baptêmes et des explorations autour d'une passion : la plongée sous-marine.",https://data.datatourisme.fr/13/64e2729c-a469-3d3b-9990-27d228640087
Jean-Baptiste Simi Guide,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,42.594946,9.164439,,20218#Urtaca,,,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-12-20,#+33 6 52 22 31 42#contact@guiderando.com#http://www.guiderando.com/,,"Accompagnés d’un Guide de Montagne Diplômé, seul en famille, entre amis ou en groupe, venez découvrir nos plus beaux sentiers de randonnées dans un foisonnement de paysages.",https://data.datatourisme.fr/13/f32189f7-6ad0-3f0b-ae1e-4c24d22270bc
Urtaca,https://www.datatourisme.fr/ontology/core#CityHeritage|https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest,42.594946,9.164439,,20218#Urtaca,,,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-01-06,#+33 4 95 48 21 39#mairie-urtaca@wanadoo.fr#,,"Véritable village balcon, Urtaca a gardé de son passé beaucoup d’élégance. Les maisons des sgiò, grands propriétaires terriens, présentent une architecture d’influence italienne.",https://data.datatourisme.fr/13/25a19176-3582-38a1-8d6f-f4f8460df42a
Cime di Corsica,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,42.611873,9.356176,,20232#Olmeta-di-Tuda,,,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-04-07,#+33 6 86 16 44 22#info@cimedicorsica.com#https://www.cimedicorsica.com/,,"Spécialiste des activités canyoning en Haute Corse, Cime di Corsica, vous propose des canyons à partir de 7 ans avec niveau famille et 10 ans, niveau découverte. Stages trail, VTT et randonnée disponibles à la journée.",https://data.datatourisme.fr/13/faf2c360-00b4-3be5-8238-939ec6f05a7b
Eglise Saint Roch de Moncale,https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ReligiousSite|https://www.datatourisme.fr/ontology/core#Church,42.509683,8.836827,,20214#Moncale,,,,,Office de Tourisme Intercommunal Calvi - Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-08-03,#+33 4 95 62 71 12<>+33 4 95 65 16 67#moncale.mairie@wanadoo.fr#,,L'église baroque de Moncale est dédiée à Saint Roch que l'on fête chaque année le 16 août.,https://data.datatourisme.fr/13/b5ce834b-62ac-3760-93bd-1b5acdbfdf3c
Muro,https://www.datatourisme.fr/ontology/core#CityHeritage|https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest,42.545394,8.913746,,20225#Muro,,,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-01-06,#+33 4 95 61 72 16#casacumuna.20225.muro@orange.fr#,,"Nous vous emmenons découvrir le joli village de Muro en Corse. Encore préservé, à la fois «proche de tout et un peu en retrait», abrité dans son écrin de verdure, Muro est un jardin qui s’accroche à la montagne sous le pic Avazeri.",https://data.datatourisme.fr/13/25a3779c-8f72-359a-8ff6-0473f18d7b2a
Novella,https://www.datatourisme.fr/ontology/core#CityHeritage|https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest,42.585735,9.115394,,20226#Novella,,,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2021-01-06,#+33 4 95 60 35 99#mairie.novella@wanadoo.fr#,,"Découvrez un village de caractère et un panorama exceptionnel sur l’Ostriconi. Entre mer et montagne au coeur la pieve di U Canale, ce village a longtemps prospéré de la culture de l’olivier.",https://data.datatourisme.fr/13/2bb2d533-0638-3e49-a7f9-daa0ac8907a7
Costa,https://www.datatourisme.fr/ontology/core#CityHeritage|https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest,42.574916,9.001945,,20226#Costa,,,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-12-15,#+33 4 95 61 30 34#commune-de-costa@orange.fr#,,"Le plus petit village de Balagne vous réserve d’agréables découvertes. Costa est un lieu privilégié : entre ses vieilles maisons de pierres et ses ruelles aux passages voûtés, ce n’est qu’à pied que vous pourrez le visiter.",https://data.datatourisme.fr/13/34ab18f3-569e-389e-b30c-033d2684272f
Corsica BBQ Boat,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,42.610487,8.855123,,20220#Algajola,,,,,Office de Tourisme Intercommunal Calvi - Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-10-24,#+33 6 07 63 57 82#contact@corsicabbqboat.fr#https://www.corsica-bbq-boat.fr/,,"Un déjeuner, un diner, une fête d'anniversaire ou un apéro sur l'eau en Corse ça vous dit ? Optez pour le BBQ Boat, bateau sans permis entièrement aménagé pour vos escapades gourmandes en Balagne !",https://data.datatourisme.fr/13/80556698-0dc3-39a6-9243-a6899751e699
Alcudina Canyon,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,41.781592,9.143549,,20122#Quenza,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-20,#+33 6 82 31 29 08##,,"Pour les passionnés de canyoning, les amateurs de sensations ou tout simplement pour les amoureux de la nature, Alcudina Canyon vous fera découvrir des paysages à couper le souffle.",https://data.datatourisme.fr/13/46d10565-85b7-3d18-8277-6bd7f3532a7a
Corse Nautic Escape,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#SightseeingBoat|http://schema.org/LocalBusiness,41.38927,9.162383,Port de Plaisance Port de Bonifacio 20169 Bonifacio,20169#Bonifacio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-04-01,#+33 7 57 46 55 61#hello@corse-nautic-escape.com#https://www.corse-nautic-escape.com/,,"Voguez d’île en île, au cœur des plus beaux sites sauvages du Sud de la Corse, du Parc Marin International des Bouches de Bonifacio. Les archipels des îles Lavezzi et des îles de la Maddalena n’attendent que vous !",https://data.datatourisme.fr/13/3248d698-3656-3019-a78b-970457567a42
Domaine de Piscia,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,41.545771,9.120277,Piscia,20114#Figari,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-14,#+33 6 14 88 56 30#domainedepiscia@gmail.com#https://domainedepiscia.com/,,"Bâtisse en matières nobles, pierres, poutres anciennes. Rôtissoire, cocktails, cuisine bio et traditionnelle élaborée à base de produits fermiers. Authenticité, détente autour de la piscine. Une fois par semaine artistes et musiciens (sous réserve).",https://data.datatourisme.fr/13/3b4a56a0-6afe-3406-b0f9-078d244c7f71
Les Terrasses d'Arsella,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#HolidayResort|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,41.661749,9.322202,Route de Portovecchiaccio,20137#Lecci,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-15,#+33 4 95 71 25 36#contact@residencearsella.com#https://www.pierreetvacances.com/,,"RESIDENCE PREMIUM PIERRE & VACANCES. Nichée au cœur d'un environnement calme et préservé, la récente résidence premium Les Terrasses d'Arsella vous invite à vivre une expérience unique et relaxante en pleine nature.",https://data.datatourisme.fr/13/5eb622e9-dfe0-3f40-945c-fb67a0ec47b6
Domaine de la Punta,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,41.548,9.3033,Route de Palombaggia Asciaghju,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-06,#+33 6 75 86 17 37#domainedelapunta@gmail.com#http://www.domainedelapunta.com/,,"A 5 minutes à pieds de la grande plage Palombaggia, au cœur du maquis corse, vous profitez d'un lieu privilégié encore préservé.
Depuis trois décennies le DOMAINE de la PUNTA vous accueille pour un séjour en toute sérénité.
Bienvenue chez nous !",https://data.datatourisme.fr/13/ba1222db-4ad3-3008-bf9d-456d2b3c525c
Maranatha Corse,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,41.587314,9.299883,Route de Piccovaggia,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-06,#+33 6 13 57 89 47#maranathacorse@gmail.com#https://www.maranathacorse.com/,,"Résidence pieds dans l'eau sur le golfe de Porto-Vecchio avec 2 piscines chauffées.
Villas, appartements ou studios tout confort et climatisés à moins de 40 mètres de notre plage, situés en plein cœur d’un domaine à la végétation luxuriante.",https://data.datatourisme.fr/13/861eaad1-129d-3c01-8c58-fe4b290d9024
L'Alba,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|https://www.datatourisme.fr/ontology/core#BistroOrWineBar|http://schema.org/FoodEstablishment|http://schema.org/Winery,41.59027,9.279853,43 rue Borgo Porte Génoise,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-01-24,#+33 6 10 73 16 53#casamusicale@hotmail.fr#,,"Bar-cabaret où tout au long de la soirée, le répertoire évolue, des chants corses pour les amateurs d’authenticité, à la variété française et internationale, entraînant le spectateur au fil de la nuit dans un voyage tour à tour bucolique et endiablé.",https://data.datatourisme.fr/13/991b4196-f509-3076-b4cb-d8a242a40bc7
Parad'Isula,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,41.531603,9.274132,Baie de Santa Giulia route du moby dick,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-20,#+33 6 28 60 99 75#paradisula20137@gmail.com#http://www.paradisula.com/,,"Dans un cadre exceptionnel Parad’Isula vous accueille tous les jours. Dégustez des poissons fraichement pêchés, des crustacés, des viandes succulentes, des salades variées au goût du soleil et de la mer, le tout dans une ambiance conviviale et estivale !",https://data.datatourisme.fr/13/6585dda6-9f64-3a90-9915-975aefe82d8c
Balesi Evasion,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace,41.604431,9.278225,Avenue de Bastia BP 137 Balesi Evasion - Europcar,20538#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-21,#+33 4 95 70 02 50<>+33 6 12 85 67 66#balesi.parc@balesi-auto.com#https://www.balesievasion.com/,,"1/2 journée de randonnée 4x4 avec accompagnateur pour une évasion entre mer et montagne. Découvrez l'Extrême-Sud, l'Alta Rocca, Bavella et passez de merveilleux moments avec Balesi Evasion ! Sur devis et à la demande.",https://data.datatourisme.fr/13/ad7ad63c-9b43-357b-aead-66e15e27c075
Résidence Pezza  Cardo,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,41.618458,9.300978,BP 72 Route de Pezza Cardo,20538#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-06,#+33 4 95 72 09 09<>+33 6 64 43 03 61#lerelaisdugolfe@gmail.com#https://www.residencespezzacardo.com/,,"La Résidence Pezza Cardo est le lieu idéal et central pour votre séjour en Corse du Sud. Située dans une petite copropriété familiale, calme, au milieu de la végétation avec piscine.",https://data.datatourisme.fr/13/d5c15d63-d909-3f7a-a645-3c2e9ae29930
Les pieds dans l'eau,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,41.618202,9.304905,BP 72 Route de Pezza Cardo,20538#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-12-09,#+33 4 95 72 09 09<>+33 6 64 43 03 61#lerelaisdugolfe@gmail.com#https://www.residencelespiedsdansleau.com/,,"Une résidence en bord de mer, dans le golfe de Porto-Vecchio, idéale pour découvrir la région.
Les Pieds dans l'Eau vous propose des studios ou mini-villas dans une petite copropriété calme et très familiale.",https://data.datatourisme.fr/13/dd8a5594-837a-351e-86a9-1c5e2031fbba
Rando Sunshine,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,41.644942,9.333513,Mora Dell Onda,20137#Lecci,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-11-23,#+33 6 09 32 69 52#randosunshine@orange.fr#http://randosunshine.com/,,"Partez en famille sur les plus belles balades de la microrégion, vous serez accompagné d'un guide pour une meilleure découverte. Pause baignade dans les criques paradisiaques et dégustation de nos produits locaux offerte.",https://data.datatourisme.fr/13/b4737fcd-3741-3dab-8f5a-2552be1e647d
"Animu, a Mediateca di Portivechju - la Médiathèque de Porto-Vecchio",https://www.datatourisme.fr/ontology/core#CulturalSite|https://www.datatourisme.fr/ontology/core#Library|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#SportsAndLeisurePlace|http://schema.org/Library,41.584443,9.281104,Voie Romaine L'Animu,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-04-01,#+33 4 95 70 99 99<>+33 4 95 23 35 89#affaires-culturelles@porto-vecchio.fr#https://www.porto-vecchio.fr/,,"Ce sont près de 3 000 m² dont plus de la moitié en espaces extérieurs offerts pour des activités telles que expositions, concerts, café citoyen, café associatif…) ou pour le seul plaisir du visiteur à la recherche d’un lieu où se poser, lire, travailler,…",https://data.datatourisme.fr/13/d6af2f60-58c0-37e3-8d57-ecedffd06a91
La Santa,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,42.604342,8.930222,Place du village,20220#Santa-Reparata-di-Balagna,,,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-01-07,#+33 4 95 60 04 73#hotelasanta@orange.fr#http://www.hotel-la-santa.com/,,"Au cœur du village de Santa Reparata di Balagna à 5 km de L'Ile-Rousse et bénéficiant d'une vue remarquable sur le golfe de L'Ile-Rousse, le restaurant La Santa vous fera découvrir la cuisine corse.",https://data.datatourisme.fr/13/27bd6834-3c88-3fb4-bff6-134a6889e190
Les Alizés,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#CollectiveAccommodation|https://www.datatourisme.fr/ontology/core#HolidayResort|http://schema.org/Accommodation|http://schema.org/LodgingBusiness,42.629741,8.954928,Route de Bastia Lotissement Castellaccio,20220#L'Île-Rousse,,,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-15,#+33 4 95 60 08 06<>+33 6 08 11 70 38<>+33 6 20 33 03 71#residencealizes@gmail.com#http://www.motel-lesalizes.com/,,"A proximité de L'Ile-Rousse et des plages, la résidence Les Alizés vous offre une vue remarquable sur les montagnes et le village de Monticello.  Pour votre confort, des appartements spacieux,
 Deux piscines, salle fitness, bain à remous et hammam.",https://data.datatourisme.fr/13/28422c87-8985-30d8-a2d3-4d645cca5bdc
Alpa Corse,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,41.924454,9.264773,Vaccaghja 20240,20240#Chisa,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-15,#+33 6 17 10 61 15#info@alpacorse.com#http://www.alpacorse.com/,,Aqua Rando / Canyoning. Des guides locaux vous font découvrir les plus beaux canyons de Corse. Passez un moment inoubliable dans cet immense territoire sauvage qu’est la plus belle île du monde : La Corse !,https://data.datatourisme.fr/13/2c86c485-dee6-3eb5-8774-c859d286acc4
A Siesta,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,42.634015,8.942262,Boulevard Charles Marie Savelli Promenade A Marinella,20220#L'Île-Rousse,,,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-06-03,#+33 4 95 60 28 74#restaurant.asiesta@gmail.com#http://www.asiesta.corsica/,,Le restaurant A Siesta de L'Ile-Rousse vous invite à venir découvrir sa cuisine raffinée les pieds dans l'eau dans une ambiance chic et conviviale. Arrivage de la pêche locale chaque jour.,https://data.datatourisme.fr/13/2d402b7d-6bf8-35b0-ab2f-e48a08963bfa
A Mandria di Pigna,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|http://schema.org/FoodEstablishment,42.59865,8.90326,Entrée du village,20220#Pigna,,,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2022-05-30,#+33 4 95 32 71 24<>+33 6 69 36 23 41#contact@amandria.com#https://www.restaurantpigna.com/,,"Situé à l'entrée du village de Pigna, A Mandria est un restaurant de spécialités corses essentiellement issues des produits du terroir.",https://data.datatourisme.fr/13/2e8a2283-ead3-3774-b871-6a7412d8e96f
Xtrem Sud Canyon,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,41.794968,9.2288,Bavella,20122#Quenza,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-20,#+33 6 18 97 03 46#info@xtremsudcanyon.com#http://www.xtremsudcanyon.com/,,"Les plus beaux canyons de Corse dans le massif de Bavella :  le Pulischellu, la Purcaraccia ou la Vacca. Entre amis, en famille (dès 7 ans), en groupe ou en sortie privative. Encadré par des guides de haute montagne. Plus de 25 ans d'expérience !",https://data.datatourisme.fr/13/2fef1656-b313-3abf-84eb-54a0e7cd7e40
Napoléon Bonaparte,https://www.datatourisme.fr/ontology/core#FoodEstablishment|https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#Restaurant|https://www.datatourisme.fr/ontology/core#Accommodation|https://www.datatourisme.fr/ontology/core#Hotel|https://www.datatourisme.fr/ontology/core#HotelRestaurant|https://www.datatourisme.fr/ontology/core#HotelTrade|http://schema.org/Accommodation|http://schema.org/FoodEstablishment|http://schema.org/LodgingBusiness|http://schema.org/Restaurant|http://schema.org/Hotel,42.633454,8.939181,3 Place Paoli,20220#L'Île-Rousse,,,,,Office de Tourisme Intercommunal de L'Ile Rousse-Balagne,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-01-03,#+33 4 95 60 06 09#napoleon@langley.eu#http://www.langleyhotels.eu/fr/our-hotels/resort-napoleon-bonaparte/,,"Ancien château construit en 1837 par Sébastien Piccioni, transformé en 1929 en hôtel de tourisme, l'Hôtel Napoléon Bonaparte fait partie des établissements de vacances les plus chargés d'histoire de toute la Corse.",https://data.datatourisme.fr/13/31ce1cba-08ea-3727-b1df-0bf847a0a682
E-Sperienza,https://www.datatourisme.fr/ontology/core#PlaceOfInterest|https://www.datatourisme.fr/ontology/core#PointOfInterest|https://www.datatourisme.fr/ontology/core#ActivityProvider|https://www.datatourisme.fr/ontology/core#Store|http://schema.org/LocalBusiness,41.594,9.1922,Hameau de Cipponu,20137#Porto-Vecchio,,,,,Porto Vecchio Tourisme,Apidae Tourisme Scic SA - source : Apidae Tourisme,2023-02-08,#+33 6 19 20 81 06#contact@e-sperienza.com#http://www.e-sperienza.com/,,Vous avez envie de découvrir la Corse au travers de parcours inédits ? C’est possible ! Laissez-vous tenter par un accompagnement en randonnée VTT avec assistance électrique à la découverte d'endroits magiques. Tarifs et réservations sur notre site web.,https://data.datatourisme.fr/13/60955c06-03b2-3f6e-8be1-2fcc595f28ff
